,global,glob_v_com,glob_com,glob_lowfr,glob_rare,reg_rare,loc_com_d1,loc_com_d2,loc_rare
QUAC_wK_resampling_df0,98,8,15,58,153,NA,NA,NA,NA
QUAC_wK_resampling_df2,54,8,15,57,108,NA,NA,NA,NA
QUAC_woK_resampling_df0,93,9,15,53,146,NA,NA,NA,NA
QUAC_woK_resampling_df2,51,9,15,53,104,NA,NA,NA,NA
ZAIN_og_allpop_resampling_df0,352,8,14,72,611,NA,NA,NA,NA
ZAIN_og_allpop_resampling_df2,172,8,15,71,370,NA,NA,NA,NA
ZAIN_og_resampling_df0,420,8,14,74,622,NA,NA,NA,NA
ZAIN_og_resampling_df2,164,9,15,74,319,NA,NA,NA,NA
ZAIN_og_wo_smallpops_resampling_df0,329,8,14,65,568,NA,NA,NA,NA
ZAIN_og_wo_smallpops_resampling_df2,167,8,14,66,346,NA,NA,NA,NA
ZAIN_rebinned_allpop_resampling_df0,348,8,14,73,609,NA,NA,NA,NA
ZAIN_rebinned_allpop_resampling_df2,174,8,14,73,368,NA,NA,NA,NA
ZAIN_rebinned_resampling_df0,413,8,15,76,617,NA,NA,NA,NA
ZAIN_rebinned_resampling_df2,166,8,14,75,325,NA,NA,NA,NA
ZAIN_rebinned_wo_smallpops_resampling_df0,333,8,14,67,566,NA,NA,NA,NA
ZAIN_rebinned_wo_smallpops_resampling_df2,166,8,14,65,355,NA,NA,NA,NA
ZAIN_red_rebinned_allpops_resampling_df0,350,8,14,73,603,NA,NA,NA,NA
ZAIN_red_rebinned_allpops_resampling_df2,171,8,14,72,372,NA,NA,NA,NA
ZAIN_red_rebinned_wo_smallpops_resampling_df2,39,7,12,44,98,NA,NA,NA,NA
